R0,sigma,avg_prev_obs,var_prev_obs,avg_npmi_obs,div_all_isolates_obs
3.0,0.7,66.52173913043478,34.79664242582425,-0.16033395231635983,25.088692033803785
1.2,0.8,3.391304347826087,3.5514290393226036,-0.2478608383637871,4.522590361445783
1.4,0.8,4.956521739130435,2.495054396739227,-0.416688601737414,5.380952380952381
1.6,0.8,13.478260869565217,9.486208003859609,-0.5166261620999892,8.4575313438107
1.8,0.8,13.565217391304348,9.360585097080406,-0.4880849677552698,7.734098517455763
2.0,0.8,18.91304347826087,9.282990522642919,-0.5332338491820454,8.136097224616446
2.2,0.8,25.73913043478261,13.78476560721472,-0.4645529059057687,10.593193653869443
2.4,0.8,34.43478260869565,20.608528876428636,-0.5113046225453419,10.774861545870456
2.6,0.8,44.56521739130435,24.39788755191825,-0.5086278522890895,15.843497162178481
2.8,0.8,38.608695652173914,21.93531633614611,-0.49980871526479426,12.701670644391408
3.0,0.8,48.69565217391305,30.3306547341265,-0.45980721631661636,16.023729767049378
1.2,0.9,1.6521739130434783,1.228772323469609,-0.30032864359161765,2.823293172690763
1.4,0.9,4.869565217391305,4.059829237632438,-0.31742203813442216,6.017424975798645
1.6,0.9,12.08695652173913,8.267752489358667,-0.4169889496175206,9.359017987360234
1.8,0.9,17.52173913043478,12.078792704636545,-0.5641891365170936,11.004347235429968
2.0,0.9,19.347826086956523,11.519188322305661,-0.5779735740076462,9.95164702326987
2.2,0.9,22.391304347826086,11.74246036800087,-0.4374069424124813,9.998111497205016
2.4,0.9,30.347826086956523,19.525295238489935,-0.5602857531934515,13.995339738795236
2.6,0.9,27.73913043478261,13.25696177761415,-0.5296546091718946,12.058093994778067
2.8,0.9,34.608695652173914,22.29092585547023,-0.5886291717746398,12.714377561681266
3.0,0.9,31.782608695652176,18.473461362277433,-0.5378689833572458,12.599877219493766
1.2,0.94,3.3043478260869565,2.285026011562623,-0.5174511098712148,7.326478149100257
1.4,0.94,7.826086956521739,4.792533718884022,-0.4694730147783457,9.623655913978494
1.6,0.94,10.043478260869565,6.406518419615257,-0.4317576885060397,8.583198707592892
1.8,0.94,15.652173913043478,8.752187755860474,-0.5037868742331697,8.475865687303253
2.0,0.94,17.304347826086957,10.416048730024503,-0.49079175986286344,9.88526026026026
2.2,0.94,22.82608695652174,15.310876033107505,-0.5106548612223376,10.489590482727065
2.4,0.94,25.130434782608695,15.463459414862472,-0.5525972807831271,12.766268565303935
2.6,0.94,25.130434782608695,16.173222391646146,-0.5530299150468553,10.888214169115246
2.8,0.94,27.043478260869566,18.279343187099986,-0.47715529210798935,10.43049254698639
3.0,0.94,43.30434782608695,28.462790354823056,-0.5935665281996353,15.63912384799899
1.2,0.975,3.4782608695652173,2.967545132036232,-0.36502655180273935,5.524475524475524
1.4,0.975,8.304347826086957,4.083612289145879,-0.43820270576029424,7.544698544698544
1.6,0.975,9.826086956521738,6.139678507374229,-0.45778049055427844,8.506189360990298
1.8,0.975,15.565217391304348,9.355727885566932,-0.4782908271341449,9.723524041387705
2.0,0.975,26.956521739130434,16.68008682359561,-0.5717950031969824,13.074197724330585
2.2,0.975,23.217391304347824,13.05219076609235,-0.5752518988090659,12.108482940525823
2.4,0.975,26.434782608695652,13.809832093497477,-0.584427718808162,12.97847798565199
2.6,0.975,30.565217391304348,20.535614489237787,-0.5807558207967936,14.827124143732725
2.8,0.975,29.869565217391305,18.281397270613862,-0.5061039533613008,13.047674418604652
3.0,0.975,35.95652173913044,25.055353739034345,-0.6043710529567355,14.637481786234678
